group	x	y	showSelected1
1	1230	24	6
2	1280	24	6
2	1280	24	8
2	1280	24	7
2	1280	24	5
2	1280	24	52
2	1280	24	42
2	1280	24	40
2	1280	24	31
2	1280	24	13
2	1280	24	3
2	1280	24	19
2	1280	24	24
2	1280	24	15
2	1280	24	72
2	1280	24	80
2	1280	24	10
2	1280	24	67
2	1280	24	45
2	1280	24	43
2	1280	24	58
2	1280	24	14
2	1280	24	34
2	1280	24	1
2	1280	24	33
2	1280	24	38
2	1280	24	65
2	1280	24	56
2	1280	24	53
2	1280	24	2
2	1280	24	16
2	1280	24	54
2	1280	24	20
2	1280	24	41
2	1280	24	63
2	1280	24	22
2	1280	24	36
2	1280	24	46
2	1280	24	47
2	1280	24	74
2	1280	24	23
2	1280	24	66
2	1280	24	51
2	1280	24	79
2	1280	24	49
2	1280	24	71
3	1280	74	8
3	1280	74	5
5	1330	74	8
5	1330	74	78
5	1330	74	35
5	1330	74	5
5	1330	74	9
4	1330	24	5
4	1330	24	8
4	1330	24	9
4	1330	24	55
4	1330	24	64
4	1330	24	61
4	1330	24	39
4	1330	24	48
4	1330	24	30
4	1330	24	44
4	1330	24	76
4	1330	24	70
4	1330	24	68
4	1330	24	59
4	1330	24	32
4	1330	24	6
4	1330	24	62
4	1330	24	77
4	1330	24	21
4	1330	24	28
4	1330	24	57
4	1330	24	75
4	1330	24	29
4	1330	24	37
4	1330	24	73
4	1330	24	18
4	1330	24	60
4	1330	24	4
4	1330	24	26
4	1330	24	27
4	1330	24	11
4	1330	24	17
4	1330	24	12
4	1330	24	69
4	1330	24	25
6	1380	24	9
6	1380	24	37
6	1380	24	25
6	1380	24	21
6	1380	24	50
