x	y	clickSelects	xmin	xmax	ymin	ymax
0	0	logFC=0 -log10(p)=0	-0.125	0.125	-2.5	2.5
-0.25	0	logFC=-0.25 -log10(p)=0	-0.375	-0.125	-2.5	2.5
0.25	0	logFC=0.25 -log10(p)=0	0.125	0.375	-2.5	2.5
-0.5	0	logFC=-0.5 -log10(p)=0	-0.625	-0.375	-2.5	2.5
0.5	0	logFC=0.5 -log10(p)=0	0.375	0.625	-2.5	2.5
-1	0	logFC=-1 -log10(p)=0	-1.125	-0.875	-2.5	2.5
0.75	0	logFC=0.75 -log10(p)=0	0.625	0.875	-2.5	2.5
-0.75	0	logFC=-0.75 -log10(p)=0	-0.875	-0.625	-2.5	2.5
-1.5	0	logFC=-1.5 -log10(p)=0	-1.625	-1.375	-2.5	2.5
1	0	logFC=1 -log10(p)=0	0.875	1.125	-2.5	2.5
-0.5	5	logFC=-0.5 -log10(p)=5	-0.625	-0.375	2.5	7.5
1.75	0	logFC=1.75 -log10(p)=0	1.625	1.875	-2.5	2.5
-0.25	5	logFC=-0.25 -log10(p)=5	-0.375	-0.125	2.5	7.5
-2	0	logFC=-2 -log10(p)=0	-2.125	-1.875	-2.5	2.5
0.5	5	logFC=0.5 -log10(p)=5	0.375	0.625	2.5	7.5
-0.75	5	logFC=-0.75 -log10(p)=5	-0.875	-0.625	2.5	7.5
0.25	5	logFC=0.25 -log10(p)=5	0.125	0.375	2.5	7.5
1.25	55	logFC=1.25 -log10(p)=55	1.125	1.375	52.5	57.5
1.25	50	logFC=1.25 -log10(p)=50	1.125	1.375	47.5	52.5
1.25	45	logFC=1.25 -log10(p)=45	1.125	1.375	42.5	47.5
1.25	40	logFC=1.25 -log10(p)=40	1.125	1.375	37.5	42.5
1.25	35	logFC=1.25 -log10(p)=35	1.125	1.375	32.5	37.5
1.25	30	logFC=1.25 -log10(p)=30	1.125	1.375	27.5	32.5
1.5	10	logFC=1.5 -log10(p)=10	1.375	1.625	7.5	12.5
1	5	logFC=1 -log10(p)=5	0.875	1.125	2.5	7.5
1.25	10	logFC=1.25 -log10(p)=10	1.125	1.375	7.5	12.5
1.25	20	logFC=1.25 -log10(p)=20	1.125	1.375	17.5	22.5
1.5	40	logFC=1.5 -log10(p)=40	1.375	1.625	37.5	42.5
1.25	5	logFC=1.25 -log10(p)=5	1.125	1.375	2.5	7.5
1.5	15	logFC=1.5 -log10(p)=15	1.375	1.625	12.5	17.5
1	15	logFC=1 -log10(p)=15	0.875	1.125	12.5	17.5
1.25	25	logFC=1.25 -log10(p)=25	1.125	1.375	22.5	27.5
1	10	logFC=1 -log10(p)=10	0.875	1.125	7.5	12.5
1	30	logFC=1 -log10(p)=30	0.875	1.125	27.5	32.5
1.5	5	logFC=1.5 -log10(p)=5	1.375	1.625	2.5	7.5
1.5	20	logFC=1.5 -log10(p)=20	1.375	1.625	17.5	22.5
1.5	35	logFC=1.5 -log10(p)=35	1.375	1.625	32.5	37.5
1.5	25	logFC=1.5 -log10(p)=25	1.375	1.625	22.5	27.5
1.25	15	logFC=1.25 -log10(p)=15	1.125	1.375	12.5	17.5
2	10	logFC=2 -log10(p)=10	1.875	2.125	7.5	12.5
1	20	logFC=1 -log10(p)=20	0.875	1.125	17.5	22.5
