group	x	y	clickSelects	showSelected1
74	-14.25	-0.25	6	1250,0
74	-14.25	0.25	6	1250,0
74	4.25	18.75	6	1250,0
74	4.75	18.75	6	1250,0
74	4.75	0.25	6	1250,0
74	4.25	-0.25	6	1250,0
74	-14.25	-0.25	6	1250,0
74	-45.25	18.75	6	1300,0
74	-45.25	19.25	6	1300,0
74	-35.25	29.25	6	1300,0
74	-34.75	29.25	6	1300,0
74	-34.25	28.75	6	1300,0
74	-34.25	27.75	6	1300,0
74	-32.75	26.25	6	1300,0
74	-31.75	26.25	6	1300,0
74	-19.25	13.75	6	1300,0
74	-19.25	13.25	6	1300,0
74	-32.75	-0.25	6	1300,0
74	-45.25	-0.25	6	1300,0
74	-45.25	18.75	6	1300,0
74	-44.75	9.25	6	1350,0
74	-44.75	9.75	6	1350,0
74	-42.75	11.75	6	1350,0
74	-42.25	11.75	6	1350,0
74	-42.25	11.25	6	1350,0
74	-42.75	10.75	6	1350,0
74	-42.75	10.25	6	1350,0
74	-41.25	10.25	6	1350,0
74	-40.75	10.75	6	1350,0
74	-40.25	10.75	6	1350,0
74	-40.25	8.75	6	1350,0
74	-39.75	8.75	6	1350,0
74	-39.25	9.25	6	1350,0
74	-39.25	10.25	6	1350,0
74	-38.25	10.25	6	1350,0
74	-37.75	10.75	6	1350,0
74	-36.75	10.75	6	1350,0
74	-36.75	11.75	6	1350,0
74	-35.25	13.25	6	1350,0
74	-35.25	14.25	6	1350,0
74	-34.75	14.75	6	1350,0
74	-33.25	14.75	6	1350,0
74	-32.75	14.25	6	1350,0
74	-29.75	14.25	6	1350,0
74	-29.75	13.25	6	1350,0
74	-29.25	13.25	6	1350,0
74	-28.75	13.75	6	1350,0
74	-28.25	13.75	6	1350,0
74	-27.75	13.25	6	1350,0
74	-27.25	13.25	6	1350,0
74	-27.25	13.75	6	1350,0
74	-28.25	14.75	6	1350,0
74	-28.25	15.25	6	1350,0
74	-27.75	15.75	6	1350,0
74	-27.75	16.25	6	1350,0
74	-28.75	16.25	6	1350,0
74	-28.75	17.25	6	1350,0
74	-29.75	17.25	6	1350,0
74	-29.75	18.25	6	1350,0
74	-30.75	18.25	6	1350,0
74	-30.75	18.75	6	1350,0
74	-29.75	19.75	6	1350,0
74	-28.75	19.75	6	1350,0
74	-28.25	20.25	6	1350,0
74	-27.75	20.25	6	1350,0
74	-27.75	18.25	6	1350,0
74	-26.25	18.25	6	1350,0
74	-24.75	19.75	6	1350,0
74	-24.25	19.75	6	1350,0
74	-22.75	18.25	6	1350,0
74	-21.75	18.25	6	1350,0
74	-21.75	17.75	6	1350,0
74	-22.25	17.25	6	1350,0
74	-22.75	17.25	6	1350,0
74	-24.25	18.75	6	1350,0
74	-24.75	18.75	6	1350,0
74	-25.75	17.75	6	1350,0
74	-25.75	16.25	6	1350,0
74	-24.75	15.25	6	1350,0
74	-24.25	15.25	6	1350,0
74	-23.75	15.75	6	1350,0
74	-22.75	15.75	6	1350,0
74	-22.25	16.25	6	1350,0
74	-20.75	16.25	6	1350,0
74	-20.25	15.75	6	1350,0
74	-20.25	15.25	6	1350,0
74	-22.75	12.75	6	1350,0
74	-22.75	12.25	6	1350,0
74	-22.25	12.25	6	1350,0
74	-21.75	12.75	6	1350,0
74	-20.75	12.75	6	1350,0
74	-20.75	13.75	6	1350,0
74	-20.25	13.75	6	1350,0
74	-19.75	13.25	6	1350,0
74	-19.75	11.75	6	1350,0
74	-20.75	11.75	6	1350,0
74	-20.75	10.25	6	1350,0
74	-20.25	9.75	6	1350,0
74	-20.25	8.75	6	1350,0
74	-18.25	8.75	6	1350,0
74	-17.75	8.25	6	1350,0
74	-17.25	8.25	6	1350,0
74	-17.25	8.75	6	1350,0
74	-17.75	9.25	6	1350,0
74	-17.75	9.75	6	1350,0
74	-16.25	9.75	6	1350,0
74	-15.25	8.75	6	1350,0
74	-15.25	8.25	6	1350,0
74	-15.75	7.75	6	1350,0
74	-15.75	6.75	6	1350,0
74	-16.25	6.25	6	1350,0
74	-16.25	4.75	6	1350,0
74	-15.25	4.75	6	1350,0
74	-15.25	4.25	6	1350,0
74	-19.75	-0.25	6	1350,0
74	-44.25	-0.25	6	1350,0
74	-44.75	0.25	6	1350,0
74	-44.75	9.25	6	1350,0
75	-34.25	29.75	6	1300,0
75	-34.25	30.25	6	1300,0
75	-18.75	45.75	6	1300,0
75	-18.25	45.75	6	1300,0
75	-18.25	43.75	6	1300,0
75	-17.25	43.75	6	1300,0
75	-16.75	43.25	6	1300,0
75	-16.75	42.75	6	1300,0
75	-17.75	42.75	6	1300,0
75	-18.25	42.25	6	1300,0
75	-18.25	41.75	6	1300,0
75	-17.25	41.75	6	1300,0
75	-16.75	41.25	6	1300,0
75	-15.25	41.25	6	1300,0
75	-14.25	42.25	6	1300,0
75	-13.75	42.25	6	1300,0
75	-13.75	40.75	6	1300,0
75	-14.75	40.75	6	1300,0
75	-15.25	40.25	6	1300,0
75	-15.25	39.25	6	1300,0
75	-16.75	39.25	6	1300,0
75	-17.25	39.75	6	1300,0
75	-17.75	39.75	6	1300,0
