group	label	showSelected1
1	Cluster 4: 10/10 pixels shown, logFC -1.2 to -0.8, log10(p) 8.6 to 19.9	4
1	Cluster 5: 569/860 pixels shown, logFC -0.7 to 0.9, log10(p) 0.0 to 3.8	5
1	Cluster 6: 761/3625 pixels shown, logFC -1.0 to 1.1, log10(p) 0.0 to 3.1	6
1	Cluster 8: 1937/4278 pixels shown, logFC -0.8 to 0.7, log10(p) 0.0 to 3.5	8
1	Cluster 9: 982/2642 pixels shown, logFC -0.7 to 1.1, log10(p) 0.0 to 3.8	9
1	Cluster 11: 11/11 pixels shown, logFC -1.2 to -0.8, log10(p) 7.0 to 15.0	11
1	Cluster 12: 31/31 pixels shown, logFC -1.2 to -0.9, log10(p) 16.0 to 27.7	12
1	Cluster 17: 60/60 pixels shown, logFC -1.2 to -0.9, log10(p) 26.4 to 38.4	17
1	Cluster 18: 7/7 pixels shown, logFC -1.4 to -0.9, log10(p) 7.3 to 18.0	18
1	Cluster 21: 70/95 pixels shown, logFC -1.1 to -1.0, log10(p) 38.0 to 47.6	21
1	Cluster 25: 14/25 pixels shown, logFC -1.1 to -1.0, log10(p) 32.5 to 39.4	25
1	Cluster 26: 12/12 pixels shown, logFC -1.2 to -0.9, log10(p) 8.4 to 15.4	26
1	Cluster 27: 9/9 pixels shown, logFC -1.3 to -1.0, log10(p) 14.9 to 22.9	27
1	Cluster 28: 12/12 pixels shown, logFC -1.1 to -0.9, log10(p) 21.0 to 30.8	28
1	Cluster 29: 60/60 pixels shown, logFC -1.3 to -0.9, log10(p) 18.9 to 30.6	29
1	Cluster 30: 2/2 pixels shown, logFC 2.6 to 3.5, log10(p) 0.6 to 1.0	30
1	Cluster 32: 3/3 pixels shown, logFC -2.1 to -1.2, log10(p) 0.4 to 2.1	32
1	Cluster 37: 102/142 pixels shown, logFC -1.2 to -0.9, log10(p) 20.7 to 32.1	37
1	Cluster 39: 3/3 pixels shown, logFC -1.1 to -0.4, log10(p) 0.3 to 1.3	39
1	Cluster 44: 3/3 pixels shown, logFC -2.1 to -2.1, log10(p) 0.4 to 0.4	44
1	Cluster 48: 1/1 pixels shown, logFC 2.0 to 2.0, log10(p) 1.8 to 1.8	48
1	Cluster 55: 5/5 pixels shown, logFC 0.5 to 1.1, log10(p) 0.2 to 1.3	55
1	Cluster 57: 11/11 pixels shown, logFC -1.1 to -1.0, log10(p) 30.5 to 34.5	57
1	Cluster 59: 5/5 pixels shown, logFC 1.4 to 2.6, log10(p) 0.4 to 0.6	59
1	Cluster 60: 8/8 pixels shown, logFC -1.1 to -0.9, log10(p) 20.0 to 26.6	60
1	Cluster 61: 5/5 pixels shown, logFC 0.7 to 1.8, log10(p) 0.6 to 1.1	61
1	Cluster 62: 2/2 pixels shown, logFC -1.5 to -0.7, log10(p) 0.2 to 0.8	62
1	Cluster 64: 5/5 pixels shown, logFC -1.0 to -0.4, log10(p) 0.3 to 1.8	64
1	Cluster 68: 1/1 pixels shown, logFC -2.9 to -2.9, log10(p) 0.6 to 0.6	68
1	Cluster 69: 3/3 pixels shown, logFC -1.0 to -1.0, log10(p) 23.2 to 25.7	69
1	Cluster 70: 1/1 pixels shown, logFC -2.9 to -2.9, log10(p) 0.6 to 0.6	70
1	Cluster 73: 4/4 pixels shown, logFC -1.3 to -1.0, log10(p) 19.9 to 24.7	73
1	Cluster 75: 56/56 pixels shown, logFC -1.2 to -0.9, log10(p) 21.6 to 32.4	75
1	Cluster 76: 2/2 pixels shown, logFC 2.6 to 2.6, log10(p) 0.6 to 0.6	76
1	Cluster 77: 1/1 pixels shown, logFC -1.3 to -1.3, log10(p) 0.9 to 0.9	77
